iter	RMSE
0	0.1020581382
1	0.09940612634
2	0.09678260308
3	0.09427174443
4	0.09190148142
5	0.08955171811
6	0.08730896389
7	0.08511620799
8	0.08297743313
9	0.08093811793
10	0.07893609414
11	0.07698743724
12	0.07514913088
13	0.07328129718
14	0.07149136137
15	0.06981670345
16	0.06809308292
17	0.06647840926
18	0.06487313796
19	0.06333598008
20	0.06180251792
21	0.06033318142
22	0.0589576604
23	0.05762995784
24	0.05628017275
25	0.05506130614
26	0.05388588823
27	0.05268449065
28	0.05146403055
29	0.05035267512
30	0.04924693598
31	0.04817360218
32	0.04712427964
33	0.04610552774
34	0.04521779999
35	0.04427387402
36	0.04340348031
37	0.04258342267
38	0.0417042024
39	0.04086109676
40	0.04008972057
41	0.03935920943
42	0.0385850676
43	0.03789060864
44	0.03721013958
45	0.0365471839
46	0.03591412977
47	0.0353240772
48	0.03469268689
49	0.03408915502
50	0.03347737294
51	0.03292365956
52	0.03242640617
53	0.03186921382
54	0.03139528141
55	0.03088927409
56	0.03039191998
57	0.02991743917
58	0.02942088019
59	0.02896438669
60	0.02857443011
61	0.02817988427
62	0.02777418904
63	0.02743072401
64	0.02707956307
65	0.02674694621
66	0.02644670653
67	0.02613439016
68	0.02585064163
69	0.02556384497
70	0.02528285274
71	0.02499068262
72	0.02469578738
73	0.02441006186
74	0.02411292074
75	0.02384227247
76	0.02355523028
77	0.02333206749
78	0.02312650242
79	0.02294988427
80	0.02270457655
81	0.02246937982
82	0.02227284095
83	0.02209556449
84	0.02192247435
85	0.02173206414
86	0.02153024341
87	0.02133799958
88	0.02115740309
89	0.02101432745
90	0.02084880057
91	0.02073232358
92	0.02057000629
93	0.02042258218
94	0.02028876863
95	0.02016751407
96	0.02003231347
97	0.01990320323
98	0.01981830372
99	0.01970602197
100	0.01962014384
101	0.01947944345
102	0.01934415522
103	0.01926011633
104	0.01916617166
105	0.01906271883
106	0.01893209626
107	0.01884040824
108	0.01874235135
109	0.01860271471
110	0.01848331658
111	0.01838295901
112	0.01828121442
113	0.01816802316
114	0.01809479772
115	0.01802249917
116	0.01791861443
117	0.01785020901
118	0.01777962109
119	0.01769256385
120	0.01763267582
121	0.01758696696
122	0.01746628649
123	0.01742019237
124	0.01736125059
125	0.01729559444
126	0.01723098532
127	0.01714388585
128	0.01705416949
129	0.01699875972
130	0.01694134331
131	0.01689245295
132	0.01685316119
133	0.01678385943
134	0.01671541062
135	0.01665178136
136	0.01656593288
137	0.01653121968
